Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
BR1-EC_bRNA_1	44.29979346827617	19.143454613173247	8.22358047300369	4.036889714699512	2.2407983961339943	1.3799640547263883	0.9841473410237482	0.7267713501747153	0.5321393621365393	4.0621919366840755	1.0957095616261592	3.126545846739596	1.9640509650978435	4.401336832800496	0.19548160912273208	3.5871444745811445
BR1-EC_bRNA_2	48.79910541645491	19.088202957939888	8.071813829057424	3.8733002230762645	2.2407139727208447	1.410030542089584	0.9878617223988507	0.6844715370567818	0.5376078099529213	4.0856344287775075	1.1109866387815395	3.0093512223925556	1.9224572316591981	4.091463589123316	0.08699887851838266	0.0
BR2-EC_bRNA_1	36.654869989673834	19.176513960325934	8.857940720410925	4.561103293511168	2.5029735200765355	1.6142319516088477	1.1228081081288632	0.8175301833227909	0.6100915175522655	4.5398049368004205	1.2019324686038175	3.5284642166863707	2.2348902175053533	4.634122021591417	0.2410187905600888	7.701704103641329
BR2-EC_bRNA_2	45.358652210749575	19.30930259585097	8.790467913194192	4.190171022357165	2.4723460490233475	1.5271689190406557	1.0677621225337048	0.766972324180521	0.5898871004973522	4.6957705462346775	1.3161038609562192	3.4216477824503704	2.1799654167243534	4.110916233059831	0.16351723784974576	0.03934866529734847
BR3-EC_bRNA_1	39.18380319635997	17.484114039245025	8.167973107479016	4.193472846258148	2.5723784029118733	1.6680139051545937	1.191925625256388	0.8651774723533663	0.6731535840150084	4.947555316071261	1.1750336366509797	3.6079754368638444	2.4267783597830204	6.352560308177671	0.774538692245213	4.715546071174848
BR3-EC_bRNA_2	44.84514854890625	17.76500501689998	7.8985130078568195	4.1158006510356335	2.436131955960315	1.5958865434077585	1.1588621103023444	0.8654621627086917	0.6447440284757409	4.917449314578228	1.23866273754977	3.6264821928277393	2.3648795070461044	6.015357008143785	0.46783585500588143	0.04377935929466116
LG1-EC_bRNA_1	50.7560588899713	17.960610385964525	6.126133531585023	2.7276616152071296	1.4818815489215977	0.976651278722005	0.7535820727886906	0.5506883201406912	0.4557615883996247	3.9999034541753526	1.1519181074797236	3.747769815722013	1.8576839159076894	1.8407724595895885	0.042220212732700345	5.570702802692205
LG1-EC_bRNA_2	51.9913750907509	17.698112105869594	6.158509748414295	2.781341622099851	1.5571743484672325	0.9788408725386327	0.7111934771458177	0.5802927516724429	0.4165371019643334	4.151865093715658	1.1692249403024353	3.7294766490267377	1.7921308771048854	1.8107689813194037	0.13564728199324916	4.337509057614483
LG2-EC_bRNA_1	47.0441433233046	16.953757138088328	5.94108975608953	2.3491447930134335	1.2327203739308075	0.7927522786250595	0.5255614655128245	0.41995375444369243	0.3075382390388369	3.755551736935397	1.5839166119987969	3.793988802680507	0.9320102108399151	0.32043998966882653	0.0	14.04743152582929
LG2-EC_bRNA_2	49.55205713291983	16.723928762414882	5.758692407506811	2.4536983531597354	1.3016074677895202	0.7408312396922417	0.5780018270283307	0.4750891855934056	0.33967480836933395	4.111214725919588	1.6791908539763116	3.7983769830925342	0.9181001386989761	0.7221077210004004	0.3609248534549498	10.486503539383182
LG3-EC_bRNA_1	49.75081737938847	18.816549083616323	6.411758451833729	2.6191310921631397	1.3580631964227647	0.8702458438233203	0.6072400004835156	0.4464863971596639	0.3436369168927261	3.5891775465504603	1.4194616845738095	4.5058038893879635	1.7278914929100844	1.2693542149741335	0.0	6.264382809819778
LG3-EC_bRNA_2	51.264402686052435	18.578112714908208	6.272274877944102	2.6303654773211655	1.3724555261191576	0.8451852771950827	0.670387029688101	0.4908213362356477	0.34234122283244384	3.609312515183722	1.4477040147630036	4.508828715083	1.701193287641303	1.4208095740571183	0.16278231739530374	4.683023427580057
LV1-EC_bRNA_1	35.09266735578423	16.826555746113435	7.077104731233809	3.47579800613671	1.962839370589195	1.3748096162434305	0.9222794389089819	0.6303607394829324	0.5694805500596678	5.006679992364145	1.5830632330618604	4.8096473728228	2.9335964926361235	10.221791739978967	3.2439483584418185	4.269377256141977
LV1-EC_bRNA_2	38.52304345353173	16.70925420307468	7.221950225559634	3.4572406309003774	2.012134032135132	1.271965705227913	0.9334459556215489	0.7150341538197827	0.6059869907383708	4.929914815096875	1.5979468235071472	4.918202841895688	2.9003113201564337	10.369412330956045	2.8451435685073343	0.9890129492712695
LV2-EC_bRNA_1	22.741631124948704	14.29760533000036	8.325458473124984	4.9933177662255455	3.285635392917418	2.319660932011362	1.759178804153904	1.3110224090276883	1.0319447818817333	8.046451546133692	1.9493316074238973	5.747233614752204	3.3367299204457503	11.54898912948329	3.6177404662738506	5.6880687011957365
LV2-EC_bRNA_2	26.056123374063294	14.687286052474304	8.347102384131802	5.023351998039378	3.310953548919885	2.3037079996764604	1.715655914097202	1.3695089828407963	1.1032223372320662	8.321320631181974	2.048389026642691	5.806925085766823	3.333530460002615	11.460258158969076	3.332469976029271	1.7801940699323473
LV3-EC_bRNA_1	33.24626489100455	17.621304651688714	7.987585583085069	4.007551854634753	2.282684638710931	1.4813701751895507	1.1357110514389428	0.8524507178456785	0.6444191665036191	5.481486770091772	1.6043329478617894	4.712385406547038	2.7944461199533634	9.598768579684007	3.134638237699397	3.414599208061005
LV3-EC_bRNA_2	35.755068413650434	17.784230829660434	7.867338018201854	4.05000444285633	2.343316169802433	1.4812027785751853	1.0734333502447628	0.8210724139071743	0.6351019414506139	5.609369838649511	1.5427033478149828	4.5859359999479	2.837239622115854	9.67684550545206	2.950292983746729	0.9868443439237966
