Sample	Unique Reads	Duplicate Reads
BR1-EC_bRNA_1	29630354.0	20703698.0
BR1-EC_bRNA_2	31834181.0	18499871.0
BR2-EC_bRNA_1	28228363.0	26326171.0
BR2-EC_bRNA_2	32935505.0	21619029.0
BR3-EC_bRNA_1	32219733.0	28371415.0
BR3-EC_bRNA_2	35638648.0	24952500.0
LG1-EC_bRNA_1	19685777.0	11359371.0
LG1-EC_bRNA_2	20042005.0	11003143.0
LG2-EC_bRNA_1	4631085.0	3235471.0
LG2-EC_bRNA_2	4820331.0	3046225.0
LG3-EC_bRNA_1	11018642.0	6529252.0
LG3-EC_bRNA_2	11258164.0	6289730.0
LV1-EC_bRNA_1	24563013.0	26645635.0
LV1-EC_bRNA_2	26315478.0	24893170.0
LV2-EC_bRNA_1	22128399.0	39282458.0
LV2-EC_bRNA_2	24310407.0	37100450.0
LV3-EC_bRNA_1	27268234.0	30580490.0
LV3-EC_bRNA_2	28752300.0	29096424.0
