Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
BR1-EC_bRNA_1	46.535478691811214	19.846537818194975	8.485618911132779	4.1620801362161615	2.292747688624415	1.4385797644311433	1.0080146060620647	0.7318258675688365	0.5485167291305822	4.156374862893064	1.13373062312684	3.126487741317784	1.995980528458872	4.376745738593696	0.16128029243735842	0.0
BR1-EC_bRNA_2	47.61139996694048	19.737487083798833	8.274545526954052	3.985265001413714	2.287271277996376	1.428604915712656	0.9948158187749011	0.6996172475483838	0.5405951729951906	4.064953996589032	1.0964534559605517	3.0747913264012197	1.9660929552817281	4.14776816639071	0.09033808724215234	0.0
BR2-EC_bRNA_1	40.33319004072914	20.839832641609554	9.570156245976218	4.930709358380246	2.7101244183570814	1.7113529792029896	1.2137038869124006	0.8826057928885893	0.663610897747659	4.84962194894807	1.3176563781015749	3.7643367402875945	2.3569153319463454	4.677877160447473	0.17830617846500615	0.0
BR2-EC_bRNA_2	42.0528772971026	20.778226242961757	9.4339458003312	4.557721875303399	2.6382102229984246	1.6028390351896193	1.1267014483736781	0.7845883383130963	0.6359572655471448	4.705937645961216	1.284499703899958	3.5786119622484853	2.328710229379206	4.364262212260149	0.1269107201298884	0.0
BR3-EC_bRNA_1	41.67711660450077	18.394824440718622	8.539690482243088	4.379511137593309	2.684725103649286	1.7534537137902193	1.2543163383469733	0.9021024813567159	0.673958898044874	5.125865079283618	1.232872674235714	3.723083072026909	2.4795340050807324	6.398789884923432	0.7624664782218795	0.017689605983806745
BR3-EC_bRNA_2	42.786383873488234	18.643775455058353	8.256755458830293	4.297008048154128	2.535736489987746	1.6467067904183008	1.1918618612986143	0.8706833855206794	0.6695246287304195	4.979279761985939	1.2439577867310763	3.69406417349354	2.470127518824049	6.237584158291561	0.4765506091871108	0.0
LG1-EC_bRNA_1	54.1136627915395	19.020834485362126	6.46491661452298	2.8880994654747605	1.5698610920782716	1.0375359572527871	0.79404634136354	0.5787058694671415	0.4721368103099631	4.240591822366168	1.215257102094782	3.9207189046201774	1.881989228128172	1.7805070259438158	0.0211364894760044	0.0
LG1-EC_bRNA_2	54.40593894918307	18.8794131556745	6.56444947425282	2.9495362085912564	1.6403102070080926	1.0437019632025257	0.7322014513689815	0.5968962386858002	0.42809451982700086	4.213733075587507	1.1828862222845238	3.8055653761102204	1.8253664076074136	1.7131942386680514	0.018712511948330852	0.0
LG2-EC_bRNA_1	55.29630600745369	19.875406065249564	6.935694285424551	2.7250405081406033	1.4440328860172642	0.9337953389244403	0.5942254788249793	0.5003029149285864	0.3495840067351748	4.374474899640593	1.8179117007292769	4.158846997410335	0.8061146096364895	0.18826430088450885	0.0	0.0
LG2-EC_bRNA_2	55.63391091656321	19.796112742926738	6.778986629991496	2.8376877817052835	1.4629044091712646	0.8350710333150405	0.6318076724917283	0.5050855510939798	0.3722689832894804	4.334810281463118	1.811112437336457	4.031498114403922	0.7629644111673327	0.20577903508102896	0.0	0.0
LG3-EC_bRNA_1	53.386971774995686	20.043010458686485	6.826999614612653	2.7723242434763207	1.4351506984333848	0.9285539236549968	0.6419053696788609	0.4644105730911158	0.3680873660705428	3.797749753656257	1.515009693755895	4.727450074375404	1.7814621573644445	1.3109142981479809	0.0	0.0
LG3-EC_bRNA_2	53.6863243855205	20.045274905379316	6.711852292029516	2.807648949282726	1.461064666065068	0.8875648440224133	0.6861511237471294	0.5104859826980283	0.3598590017321592	3.67164269276881	1.4824677572285745	4.673058310488065	1.7443931171145681	1.2722119719231713	0.0	0.0
LV1-EC_bRNA_1	36.59936488604899	17.402927748560938	7.291388120432418	3.5588404495367874	2.011307649204183	1.4063170602905537	0.9415074407539263	0.6564560861672001	0.5628716417983706	5.128718209622303	1.6641377484726585	4.945680673928863	2.978122901837417	10.521652791038196	3.25810981632587	1.072596775981314
LV1-EC_bRNA_2	37.09396317811399	17.141353468508132	7.368371202977439	3.5267578502402976	2.042580189645276	1.307574769427362	0.9416731934047632	0.729039087143972	0.6062767296054774	4.997405025938746	1.6303068013593023	5.050423540641017	2.9784206342506336	10.678639841908865	2.964004049886354	0.9432104369482346
LV2-EC_bRNA_1	24.00928653938107	14.921210229222229	8.694452900652283	5.161608699921413	3.448234344738102	2.416856993713735	1.8050217532241917	1.3425530922982825	1.0746631388487604	8.346565763831334	2.032569167612264	5.91308264284145	3.412279367528201	11.88434942245153	3.736725672756163	1.800540270978912
LV2-EC_bRNA_2	23.96383401132519	15.180475899675121	8.586893925583606	5.1619603650423365	3.4216970447254282	2.3733052454624692	1.7268522620421258	1.4337538291667171	1.0968042738051003	8.488416723069049	2.1006045416531673	5.966544213015357	3.4518518133651406	11.835181829067801	3.409262954078693	1.8025610689226244
LV3-EC_bRNA_1	34.28656525371441	18.003164485263703	8.141176561270418	4.070554915512372	2.3383995423474295	1.493222105752703	1.1583052099546025	0.8536990607409564	0.6743586661162893	5.570179934823409	1.6565501204436124	4.789808103032952	2.863090710899919	9.817679739142426	3.1273136140840507	1.1559319769006748
LV3-EC_bRNA_2	34.61532808142369	18.12847169984778	8.00459531761874	4.106274994141487	2.366609564260173	1.5069694491561858	1.1055162327896595	0.8258985483228712	0.6295827901370249	5.670498633462427	1.5779832151518798	4.68608115995979	2.916434549795071	9.890200326822141	3.0153724791070404	0.9541829580037252
