Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
BR1-EC_bRNA_1	3.4	50334052	20344326	50334052	5083739252	80681113	4797572609	5.629058234790835
BR1-EC_bRNA_2	3.4	50334052	19013848	50334052	5083739252	203243152	4822687245	5.135039270499549
BR2-EC_bRNA_1	3.4	54554534	22396303	54554534	5510007934	135712924	4985674209	9.51602486385821
BR2-EC_bRNA_2	3.4	54554534	19132802	54554534	5510007934	408222490	5052242507	8.307890523629144
BR3-EC_bRNA_1	3.4	60591148	23633549	60591148	6119705948	109219390	5729071511	6.383222336486027
BR3-EC_bRNA_2	3.4	60591148	21411976	60591148	6119705948	311054877	5760368088	5.871815787447048
LG1-EC_bRNA_1	3.4	31045148	12086007	31045148	3135559948	59608678	2911673273	7.1402454015527566
LG1-EC_bRNA_2	3.4	31045148	11979504	31045148	3135559948	102625302	2904003259	7.384859254491281
LG2-EC_bRNA_1	3.4	7866556	3461742	7866556	794522156	32394536	664872348	16.317960049436305
LG2-EC_bRNA_2	3.4	7866556	3370759	7866556	794522156	54948334	664690730	16.34081882041311
LG3-EC_bRNA_1	3.4	17547894	6764555	17547894	1772337294	35838153	1634909659	7.754033922619698
LG3-EC_bRNA_2	3.4	17547894	6709851	17547894	1772337294	63950303	1629309474	8.070011305647107
LV1-EC_bRNA_1	3.4	51208648	19264319	51208648	5172073448	73228237	4926253645	4.7528289277302616
LV1-EC_bRNA_2	3.4	51208648	17869669	51208648	5172073448	219549924	4915377187	4.9631209529567375
LV2-EC_bRNA_1	3.4	61410857	22933379	61410857	6202496557	96179067	5867209045	5.405686386421318
LV2-EC_bRNA_2	3.4	61410857	20965305	61410857	6202496557	285791960	5871453650	5.337252571730851
LV3-EC_bRNA_1	3.4	57848724	20894423	57848724	5842721124	65971868	5636933258	3.5221237096990703
LV3-EC_bRNA_2	3.4	57848724	19887876	57848724	5842721124	197260575	5611087566	3.9644808144021217
