Sample	Custom content: Biotype Counts_mqc-generalstats-custom_content_biotype_counts-percent_rRNA	Custom content: DupRadar_mqc-generalstats-custom_content_dupradar-dupRadar_intercept	Picard: Mark Duplicates_mqc-generalstats-picard_mark_duplicates-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	RSeQC_mqc-generalstats-rseqc-proper_pairs_percent	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-mapped_passed_pct	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-median_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-median_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
BR1-EC_bRNA	1.2659136308515233	0.10717039850826	0.249821	0.86	43007879.0	69.04933858546869	0.004474314	4975695.0	86211597.0	100.0	99.772839145991	0.31944890198472947	86211597.0	91187292	91187292	100.0	87.0	41918632.0													
BR1-EC_bRNA_1																			41.13258836121133	43.0	101.0	101	20.0	50334052.0	5.629058234790835	38.39433838044759	43.0	98.53112193287471	100	10.0	48182740.0
BR1-EC_bRNA_2																			36.75418764301265	43.0	101.0	101	10.0	50334052.0	5.135039270499549	37.506302810227965	43.0	98.29952862788625	100	10.0	48182740.0
BR2-EC_bRNA	1.9821230321824341	0.167232721220597	0.313185	0.86	44388195.0	62.71784079235289	0.00485466	5645171.0	88950863.0	100.0	99.80385462926876	0.3322429822856244	88950863.0	94596034	94596034	100.0	86.73	43033273.0													
BR2-EC_bRNA_1																			48.25661481681054	45.0	101.0	101	20.0	54554534.0	9.51602486385821	43.31153473003893	45.0	98.97852093997042	100	10.0	49618838.0
BR2-EC_bRNA_2																			39.62829160327603	45.0	101.0	101	10.0	54554534.0	8.307890523629144	41.82912090388524	45.0	98.66659606176187	100	10.0	49618838.0
BR3-EC_bRNA	2.2110193145333965	0.103638431743927	0.281149	1.02	51547943.0	65.50442159904102	0.004567947	6821646.0	103284335.0	100.0	99.81754348323973	0.30845723119580526	103284335.0	110105981	110105981	100.0	87.29	49840020.0													
BR3-EC_bRNA_1																			46.824356742958074	44.0	101.0	101	20.0	60591148.0	6.383222336486027	43.64235944657987	45.0	99.00871600844971	100	10.0	57100220.0
BR3-EC_bRNA_2																			41.18175926248987	45.0	101.0	101	10.0	60591148.0	5.871815787447048	42.59439482591344	45.0	98.71868938508469	100	10.0	57100220.0
LG1-EC_bRNA	2.1282344153546187	0.114481070587898	0.220901	0.85	25519443.0	71.32400112085556	0.004175351	3120170.0	51099127.0	100.0	99.88210953192997	0.33585896682735894	51099127.0	54219297	54219297	100.0	85.44	24766401.0													
LG1-EC_bRNA_1																			36.589845053107815	46.0	101.0	101	20.0	31045148.0	7.1402454015527566	32.49476973194116	46.0	99.09452742188093	100	10.0	28987800.0
LG1-EC_bRNA_2																			35.442393380496924	46.0	101.0	101	20.0	31045148.0	7.384859254491281	32.22059876513822	46.0	99.12905615465817	100	10.0	28987800.0
LG2-EC_bRNA	3.5033234426717415	0.131551684051547	0.235469	0.95	5434408.0	68.18059394206276	0.006837422	879967.0	10878722.0	100.0	99.9089415098575	0.4392611558600358	10878722.0	11758689	11758689	100.0	78.99	5218812.0													
LG2-EC_bRNA_1																			41.12944740457637	48.0	101.0	101	30.0	7866556.0	16.317960049436305	30.86268264788312	50.0	98.94322545159595	100	10.0	6606957.0
LG2-EC_bRNA_2																			38.723747101524744	49.0	101.0	101	30.0	7866556.0	16.34081882041311	30.59244447882689	50.0	98.98984630897401	100	10.0	6606957.0
LG3-EC_bRNA	2.6783053028336896	0.140559504322688	0.25299	0.91	14228765.0	68.14590402982455	0.004578687	1826047.0	28481327.0	100.0	99.91644701105395	0.33324992195763914	28481327.0	30307374	30307374	100.0	84.83	13779559.0													
LG3-EC_bRNA_1																			37.20818553324261	47.0	101.0	101	20.0	17547894.0	7.754033922619698	32.733260027936126	48.0	99.17266435391812	100	10.0	16243011.0
LG3-EC_bRNA_2																			35.84322236526451	47.0	101.0	101	20.0	17547894.0	8.070011305647107	32.45890913467214	48.0	99.21332208665007	100	10.0	16243011.0
LV1-EC_bRNA	2.0760702043153683	0.154110998536639	0.417717	0.78	43210285.0	50.25013406107377	0.004773295	9537081.0	86540398.0	100.0	99.86153518730062	0.5363344873916572	86540398.0	96077479	96077479	100.0	82.55	40432365.0													
LV1-EC_bRNA_1																			52.03346772858487	44.0	101.0	101	30.0	51208648.0	4.7528289277302616	50.1173376564606	44.0	99.04955098953226	100	20.0	48980818.0
LV1-EC_bRNA_2																			48.61126385739279	44.0	101.0	101	10.0	51208648.0	4.9631209529567375	49.73896080106639	44.0	98.94821425807956	100	10.0	48980818.0
LV2-EC_bRNA	2.9245109024701437	0.221956020850901	0.528239	0.78	51258736.0	39.80482425117866	0.006493187	13000481.0	102634377.0	100.0	99.88609566948509	0.5460694714403538	102634377.0	115634858	115634858	100.0	80.9	47263735.0													
LV2-EC_bRNA_1																			63.96663538587465	45.0	101.0	101	30.0	61410857.0	5.405686386421318	62.139319058759824	45.0	99.0440220650814	100	20.0	58419363.0
LV2-EC_bRNA_2																			60.41350457329875	45.0	101.0	101	20.0	61410857.0	5.337252571730851	62.08955965875656	45.0	98.95987797744388	100	20.0	58419363.0
LV3-EC_bRNA	2.4834432665154433	0.176918672395229	0.414576	0.82	49753144.0	51.327091715662156	0.004061676	9876703.0	99632194.0	100.0	99.87362920061761	0.40698591862786837	99632194.0	109508897	109508897	100.0	83.65	46814656.0													
LV3-EC_bRNA_1																			52.862860849564505	45.0	101.0	101	30.0	57848724.0	3.5221237096990703	51.539796661890996	45.0	99.1906556414745	100	20.0	55965404.0
LV3-EC_bRNA_2																			50.29743598756516	45.0	101.0	101	20.0	57848724.0	3.9644808144021217	51.18700558904402	45.0	99.06474085311704	100	20.0	55965404.0
