Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
BR_EC_ATAC_REP1	63661782.0	0.0	63661782.0	1.0	31830891.0	31830891.0	63661782.0	63661782.0	0.0	62386698.0	63661782.0	0.0	0.0	0.0	0.0	0.0	3074631512.0	1538408546.0	1536222966.0	3074631512.0	3074631512.0	0.0	0.0	3907978.0	0.001271039	48.0	48.0	48.0	50.0	50.0	50.0	36.0	191.2	159.3	29523679.0	2307212.0	0.0	0.0	98.0	100.0	100.0	0.0	97.99709659399733	100.0	0.0	0.0	0.0
BR_EC_ATAC_REP2	74420782.0	0.0	74420782.0	1.0	37210391.0	37210391.0	74420782.0	74420782.0	0.0	73375540.0	74420782.0	0.0	0.0	0.0	0.0	0.0	3608528276.0	1804998408.0	1803529868.0	3608528276.0	3608528276.0	0.0	0.0	3771516.0	0.001045167	48.0	49.0	48.0	50.0	50.0	50.0	36.2	184.1	153.4	34791350.0	2419041.0	0.0	0.0	98.6	100.0	100.0	0.0	98.59549715561978	100.0	0.0	0.0	0.0
BR_EC_ATAC_REP3	27552972.0	0.0	27552972.0	1.0	13776486.0	13776486.0	27552972.0	27552972.0	0.0	26798952.0	27552972.0	0.0	0.0	0.0	0.0	0.0	1843500494.0	922199645.0	921300849.0	1843500494.0	1843500494.0	0.0	0.0	10413471.0	0.005648748	66.0	67.0	67.0	76.0	76.0	76.0	39.2	146.2	121.9	11144601.0	2631885.0	0.0	0.0	97.3	100.0	100.0	0.0	97.26338051662812	100.0	0.0	0.0	0.0
BR_EC_ATAC_REP4	24616140.0	0.0	24616140.0	1.0	12308070.0	12308070.0	24616140.0	24616140.0	0.0	23936414.0	24616140.0	0.0	0.0	0.0	0.0	0.0	1636190703.0	818569166.0	817621537.0	1636190703.0	1636190703.0	0.0	0.0	9445791.0	0.005773038	66.0	67.0	66.0	76.0	76.0	76.0	39.1	144.7	120.4	9890437.0	2417633.0	0.0	0.0	97.2	100.0	100.0	0.0	97.23869786245935	100.0	0.0	0.0	0.0
LG_EC_ATAC_REP1	28387920.0	0.0	28387920.0	1.0	14193960.0	14193960.0	28387920.0	28387920.0	0.0	27921318.0	28387920.0	0.0	0.0	0.0	0.0	0.0	1777433254.0	888883629.0	888549625.0	1777433254.0	1777433254.0	0.0	0.0	9947042.0	0.005596296	62.0	63.0	63.0	76.0	76.0	76.0	39.5	98.6	67.9	10369099.0	3824861.0	0.0	0.0	98.4	100.0	100.0	0.0	98.35633607534471	100.0	0.0	0.0	0.0
LG_EC_ATAC_REP2	20948214.0	0.0	20948214.0	1.0	10474107.0	10474107.0	20948214.0	20948214.0	0.0	20488236.0	20948214.0	0.0	0.0	0.0	0.0	0.0	1311233291.0	655682850.0	655550441.0	1311233291.0	1311233291.0	0.0	0.0	7437500.0	0.005672141	62.0	63.0	63.0	76.0	76.0	76.0	39.4	101.3	74.1	7640399.0	2833708.0	0.0	0.0	97.8	100.0	100.0	0.0	97.80421376256706	100.0	0.0	0.0	0.0
LG_EC_ATAC_REP3	29297582.0	0.0	29297582.0	1.0	14648791.0	14648791.0	29297582.0	29297582.0	0.0	29157900.0	29297582.0	0.0	0.0	0.0	0.0	0.0	1816271793.0	908277647.0	907994146.0	1816271793.0	1816271793.0	0.0	0.0	10394522.0	0.005723	61.0	62.0	62.0	76.0	76.0	76.0	39.4	98.6	66.6	10631125.0	4017666.0	0.0	0.0	99.5	100.0	100.0	0.0	99.52323027886737	100.0	0.0	0.0	0.0
LG_EC_ATAC_REP4	50400574.0	0.0	50400574.0	1.0	25200287.0	25200287.0	50400574.0	50400574.0	0.0	49547118.0	50400574.0	0.0	0.0	0.0	0.0	0.0	2452900262.0	1227019048.0	1225881214.0	2452900262.0	2452900262.0	0.0	0.0	2417634.0	0.0009856226	48.0	49.0	49.0	50.0	50.0	50.0	36.3	199.1	161.7	23828055.0	1372232.0	0.0	0.0	98.3	100.0	100.0	0.0	98.30665420596202	100.0	0.0	0.0	0.0
LV_EC_ATAC_REP1	68733086.0	0.0	68733086.0	1.0	34366543.0	34366543.0	68733086.0	68733086.0	0.0	67756248.0	68733086.0	0.0	0.0	0.0	0.0	0.0	3331122428.0	1666359755.0	1664762673.0	3331122428.0	3331122428.0	0.0	0.0	3492278.0	0.001048379	48.0	48.0	48.0	50.0	50.0	50.0	36.2	181.5	152.8	32059109.0	2307434.0	0.0	0.0	98.6	100.0	100.0	0.0	98.57879507985426	100.0	0.0	0.0	0.0
LV_EC_ATAC_REP2	15119108.0	0.0	15119108.0	1.0	7559554.0	7559554.0	15119108.0	15119108.0	0.0	14686262.0	15119108.0	0.0	0.0	0.0	0.0	0.0	1005615353.0	504596075.0	501019278.0	1005615353.0	1005615353.0	0.0	0.0	2214918.0	0.00220255	66.0	67.0	66.0	76.0	76.0	76.0	38.6	140.5	117.8	6091406.0	1468148.0	0.0	0.0	97.1	100.0	100.0	0.0	97.13709300839706	100.0	0.0	0.0	0.0
LV_EC_ATAC_REP3	12389448.0	0.0	12389448.0	1.0	6194724.0	6194724.0	12389448.0	12389448.0	0.0	12073410.0	12389448.0	0.0	0.0	0.0	0.0	0.0	806220645.0	404557744.0	401662901.0	806220645.0	806220645.0	0.0	0.0	2002732.0	0.002484099	65.0	65.0	65.0	76.0	76.0	76.0	38.4	129.3	109.4	4844296.0	1350428.0	0.0	0.0	97.4	100.0	100.0	0.0	97.44913574842076	100.0	0.0	0.0	0.0
