Sample	CATEGORY	TOTAL_READS	PF_READS	PCT_PF_READS	PF_NOISE_READS	PF_READS_ALIGNED	PCT_PF_READS_ALIGNED	PF_ALIGNED_BASES	PF_HQ_ALIGNED_READS	PF_HQ_ALIGNED_BASES	PF_HQ_ALIGNED_Q20_BASES	PF_HQ_MEDIAN_MISMATCHES	PF_MISMATCH_RATE	PF_HQ_ERROR_RATE	PF_INDEL_RATE	MEAN_READ_LENGTH	SD_READ_LENGTH	MEDIAN_READ_LENGTH	MAD_READ_LENGTH	MIN_READ_LENGTH	MAX_READ_LENGTH	MEAN_ALIGNED_READ_LENGTH	READS_ALIGNED_IN_PAIRS	PCT_READS_ALIGNED_IN_PAIRS	PF_READS_IMPROPER_PAIRS	PCT_PF_READS_IMPROPER_PAIRS	BAD_CYCLES	STRAND_BALANCE	PCT_CHIMERAS	PCT_ADAPTER	PCT_SOFTCLIP	PCT_HARDCLIP	AVG_POS_3PRIME_SOFTCLIP_LENGTH	SAMPLE	LIBRARY	READ_GROUP
BR_EC_ATAC_REP1	PAIR	63661782.0	63661782.0	1.0	0.0	63661782.0	1.0	3074593742.0	63029618.0	3044006782.0	2943087757.0	0.0	0.001225	0.001218	3.6e-05	48.296347	3.43741	50.0	0.0	20.0	50.0	48.296347	63661782.0	1.0	1275084.0	0.020029	0.0	0.5	0.0	0.0	0.0	0.0	0.0			
BR_EC_ATAC_REP2	PAIR	74420782.0	74420782.0	1.0	0.0	74420782.0	1.0	3608493932.0	73513294.0	3564475779.0	3461542140.0	0.0	0.001005	0.000998	3.1e-05	48.48818	3.176302	50.0	0.0	20.0	50.0	48.48818	74420782.0	1.0	1045242.0	0.014045	0.0	0.5	0.0	0.0	0.0	0.0	0.0			
BR_EC_ATAC_REP3	PAIR	27552972.0	27552972.0	1.0	0.0	27552972.0	1.0	1843478713.0	27351056.0	1830216177.0	1800105345.0	0.0	0.005609	0.005604	2.9e-05	66.907501	13.07723	75.0	1.0	20.0	76.0	66.907501	27552972.0	1.0	754020.0	0.027366	0.0	0.5	0.0	0.0	0.0	0.0	0.0			
BR_EC_ATAC_REP4	PAIR	24616140.0	24616140.0	1.0	0.0	24616140.0	1.0	1636173047.0	24452802.0	1625473614.0	1597059756.0	0.0	0.005736	0.005732	2.6e-05	66.468208	13.351796	75.0	1.0	20.0	76.0	66.468208	24616140.0	1.0	679726.0	0.027613	0.0	0.5	0.0	0.0	0.0	0.0	0.0			
LG_EC_ATAC_REP1	PAIR	28387920.0	28387920.0	1.0	0.0	28387920.0	1.0	1777414614.0	28163559.0	1763899880.0	1741805911.0	0.0	0.005559	0.005555	2.6e-05	62.61231	14.519394	70.0	6.0	20.0	76.0	62.61231	28387920.0	1.0	466602.0	0.016437	0.0	0.5	0.0	0.0	0.0	0.0	0.0			
LG_EC_ATAC_REP2	PAIR	20948214.0	20948214.0	1.0	0.0	20948214.0	1.0	1311219760.0	20785727.0	1301430041.0	1285277932.0	0.0	0.005636	0.005631	2.6e-05	62.594037	14.494758	70.0	6.0	20.0	76.0	62.594037	20948214.0	1.0	459978.0	0.021958	0.0	0.5	0.0	0.0	0.0	0.0	0.0			
LG_EC_ATAC_REP3	PAIR	29297582.0	29297582.0	1.0	0.0	29297582.0	1.0	1816252315.0	29062490.0	1802320598.0	1779311692.0	0.0	0.005684	0.00568	2.7e-05	61.993914	14.817635	68.0	8.0	20.0	76.0	61.993914	29297582.0	1.0	139682.0	0.004768	0.0	0.5	0.0	0.0	0.0	0.0	0.0			
LG_EC_ATAC_REP4	PAIR	50400574.0	50400574.0	1.0	0.0	50400574.0	1.0	2452882278.0	49816229.0	2424448555.0	2359311157.0	0.0	0.000949	0.000942	2.9e-05	48.668102	2.875756	50.0	0.0	20.0	50.0	48.668102	50400574.0	1.0	853456.0	0.016933	0.0	0.5	0.0	0.0	0.0	0.0	0.0			
LV_EC_ATAC_REP1	PAIR	68733086.0	68733086.0	1.0	0.0	68733086.0	1.0	3331096626.0	67896964.0	3290561091.0	3193222347.0	0.0	0.001012	0.001005	2.9e-05	48.464613	3.192543	50.0	0.0	20.0	50.0	48.464613	68733086.0	1.0	976838.0	0.014212	0.0	0.5	0.0	0.0	0.0	0.0	0.0			
LV_EC_ATAC_REP2	PAIR	15119108.0	15119108.0	1.0	0.0	15119108.0	1.0	1005594393.0	14993046.0	997397050.0	975453506.0	0.0	0.002146	0.002134	3.8e-05	66.512876	13.108571	75.0	1.0	20.0	76.0	66.512876	15119108.0	1.0	432846.0	0.028629	0.0	0.5	0.0	0.0	0.0	0.0	0.0			
LV_EC_ATAC_REP3	PAIR	12389448.0	12389448.0	1.0	0.0	12389448.0	1.0	806196215.0	12286189.0	799650115.0	780623768.0	0.0	0.002409	0.002397	5.1e-05	65.073169	13.819259	74.0	2.0	20.0	76.0	65.073169	12389448.0	1.0	316038.0	0.025509	0.0	0.5	0.0	0.0	0.0	0.0	0.0			
