Sample	Assigned	Unassigned: No Features	Unassigned: Overlapping Length
BR_EC_ATAC_REP1	10194633.0	21505706.0	130552.0
BR_EC_ATAC_REP2	4413396.0	32669774.0	127221.0
BR_EC_ATAC_REP3	2776108.0	10944935.0	55443.0
BR_EC_ATAC_REP4	3726273.0	8530859.0	50938.0
LG_EC_ATAC_REP1	1316369.0	12833353.0	44238.0
LG_EC_ATAC_REP2	1251547.0	9187847.0	34713.0
LG_EC_ATAC_REP3	1184764.0	13419619.0	44408.0
LG_EC_ATAC_REP4	3616969.0	21492382.0	90936.0
LV_EC_ATAC_REP1	3910847.0	30339987.0	115709.0
LV_EC_ATAC_REP2	745853.0	6787611.0	26090.0
LV_EC_ATAC_REP3	766445.0	5406560.0	21719.0
