Sample	10	11	12	13	14	15	16	17	18	19	1	2	3	4	5	6	7	8	9	MT	X	Y	*
BR_EC_ATAC_REP1	[5132598, 130694993]	[4881281, 122082543]	[4754701, 120129022]	[4561261, 120421639]	[4747389, 124902244]	[3730613, 104043685]	[3454772, 98207768]	[3995132, 94987271]	[3171597, 90702639]	[2272831, 61431566]	[12192839, 195471971]	[8997777, 182113224]	[5552710, 160039680]	[5705358, 156508116]	[5660908, 151834684]	[5704509, 149736546]	[6002873, 145441459]	[5068735, 129401213]	[6106418, 124595110]	[30642654, 16299]	[2973773, 171031299]	[1488228, 91744698]	[0, 0]
BR_EC_ATAC_REP2	[5378962, 130694993]	[5418547, 122082543]	[5263783, 120129022]	[5107278, 120421639]	[5966848, 124902244]	[4414804, 104043685]	[4006919, 98207768]	[4326496, 94987271]	[3810877, 90702639]	[2572644, 61431566]	[9236974, 195471971]	[10545725, 182113224]	[6287389, 160039680]	[6748395, 156508116]	[6340566, 151834684]	[6166388, 149736546]	[6424645, 145441459]	[5393045, 129401213]	[8136444, 124595110]	[7866872, 16299]	[3609056, 171031299]	[2034892, 91744698]	[0, 0]
BR_EC_ATAC_REP3	[2639862, 130694993]	[2736457, 122082543]	[2632521, 120129022]	[2511088, 120421639]	[2596098, 124902244]	[2087211, 104043685]	[1971014, 98207768]	[2038340, 94987271]	[1786693, 90702639]	[1280605, 61431566]	[6101580, 195471971]	[4768361, 182113224]	[3060251, 160039680]	[3326036, 156508116]	[3088890, 151834684]	[3108686, 149736546]	[3131752, 145441459]	[2674876, 129401213]	[3251250, 124595110]	[15357333, 16299]	[1799642, 171031299]	[866675, 91744698]	[0, 0]
BR_EC_ATAC_REP4	[2383553, 130694993]	[2325643, 122082543]	[2304572, 120129022]	[2108857, 120421639]	[2166958, 124902244]	[1743076, 104043685]	[1688090, 98207768]	[1840058, 94987271]	[1541621, 90702639]	[1077394, 61431566]	[6553934, 195471971]	[4144665, 182113224]	[2713384, 160039680]	[2842012, 156508116]	[2621231, 151834684]	[2697255, 149736546]	[2806789, 145441459]	[2345342, 129401213]	[2682536, 124595110]	[19529060, 16299]	[1597726, 171031299]	[654186, 91744698]	[0, 0]
LG_EC_ATAC_REP1	[2490308, 130694993]	[2640509, 122082543]	[2411477, 120129022]	[2421998, 120421639]	[2530570, 124902244]	[1957610, 104043685]	[1828488, 98207768]	[2019010, 94987271]	[1721574, 90702639]	[1159940, 61431566]	[5179249, 195471971]	[4497326, 182113224]	[2890421, 160039680]	[3361251, 156508116]	[3003164, 151834684]	[2901652, 149736546]	[2969284, 145441459]	[2581141, 129401213]	[3374609, 124595110]	[9038149, 16299]	[1598457, 171031299]	[785671, 91744698]	[0, 0]
LG_EC_ATAC_REP2	[1895494, 130694993]	[2025977, 122082543]	[1852566, 120129022]	[1687492, 120421639]	[1814905, 124902244]	[1424832, 104043685]	[1287103, 98207768]	[1416780, 94987271]	[1248325, 90702639]	[929039, 61431566]	[3629167, 195471971]	[3308417, 182113224]	[2131754, 160039680]	[2300678, 156508116]	[2209948, 151834684]	[2103305, 149736546]	[2326169, 145441459]	[1960366, 129401213]	[2373178, 124595110]	[7263573, 16299]	[1153073, 171031299]	[602725, 91744698]	[0, 0]
LG_EC_ATAC_REP3	[2327647, 130694993]	[2432226, 122082543]	[2207249, 120129022]	[2274781, 120421639]	[2380406, 124902244]	[1881262, 104043685]	[1657190, 98207768]	[1799591, 94987271]	[1530944, 90702639]	[1033426, 61431566]	[3888164, 195471971]	[4110088, 182113224]	[2834520, 160039680]	[2867548, 156508116]	[2755953, 151834684]	[2604615, 149736546]	[2719991, 145441459]	[2402074, 129401213]	[3142059, 124595110]	[3125459, 16299]	[1478699, 171031299]	[756693, 91744698]	[0, 0]
LG_EC_ATAC_REP4	[4759533, 130694993]	[4573142, 122082543]	[4520358, 120129022]	[4150455, 120421639]	[4641824, 124902244]	[3574491, 104043685]	[3337367, 98207768]	[3639157, 94987271]	[3008283, 90702639]	[2011002, 61431566]	[9879874, 195471971]	[7751122, 182113224]	[5240323, 160039680]	[5916920, 156508116]	[7529798, 151834684]	[5286171, 149736546]	[5651723, 145441459]	[4800806, 129401213]	[5478931, 124595110]	[18398957, 16299]	[2951111, 171031299]	[1592274, 91744698]	[0, 0]
LV_EC_ATAC_REP1	[5489435, 130694993]	[5142640, 122082543]	[5154781, 120129022]	[4702916, 120421639]	[5636444, 124902244]	[4171761, 104043685]	[3768210, 98207768]	[4032973, 94987271]	[3470787, 90702639]	[2313531, 61431566]	[9195017, 195471971]	[9863441, 182113224]	[6130536, 160039680]	[6412754, 156508116]	[6262221, 151834684]	[5953488, 149736546]	[6067615, 145441459]	[5273199, 129401213]	[7458354, 124595110]	[8695668, 16299]	[3418259, 171031299]	[1999194, 91744698]	[0, 0]
LV_EC_ATAC_REP2	[1344452, 130694993]	[1368585, 122082543]	[1290426, 120129022]	[1233459, 120421639]	[1281744, 124902244]	[1013453, 104043685]	[928084, 98207768]	[1055812, 94987271]	[857802, 90702639]	[607316, 61431566]	[2327283, 195471971]	[2332653, 182113224]	[1452192, 160039680]	[1620144, 156508116]	[1606087, 151834684]	[1529308, 149736546]	[1583213, 145441459]	[1364318, 129401213]	[1731975, 124595110]	[2561273, 16299]	[914832, 171031299]	[392858, 91744698]	[0, 0]
