[2024-03-26 18:43:04,650] multiqc                                            [DEBUG  ]  This is MultiQC v1.13
[2024-03-26 18:43:04,685] multiqc                                            [DEBUG  ]  Loading config settings from: multiqc_config.yml
[2024-03-26 18:43:04,685] multiqc                                            [DEBUG  ]  New config: {'report_comment': 'This report has been generated by the <a href="https://github.com/nf-core/atacseq/2.1.2" target="_blank">nf-core/atacseq</a> analysis pipeline. For information about how to interpret these results, please see the <a href="https://nf-co.re/atacseq/2.1.2/output" target="_blank">documentation</a>.\n', 'data_format': 'yaml', 'export_plots': True, 'run_modules': ['custom_content', 'fastqc', 'cutadapt', 'samtools', 'picard', 'preseq', 'featureCounts', 'deeptools'], 'exclude_modules': ['general_stats'], 'module_order': [{'fastqc': {'name': 'LIB: FastQC (raw)', 'info': 'This section of the report shows FastQC results before adapter trimming for individual libraries.', 'path_filters': ['./fastqc/*.zip']}}, {'cutadapt': {'name': 'LIB: Cutadapt (trimmed)', 'info': 'This section of the report shows the length of trimmed reads by Cutadapt for individual libraries.'}}, {'fastqc': {'name': 'LIB: FastQC (trimmed)', 'info': 'This section of the report shows FastQC results after adapter trimming for individual libraries.', 'path_filters': ['./trimgalore/fastqc/*.zip']}}, {'samtools': {'name': 'LIB: SAMTools', 'info': 'This section of the report shows SAMTools results for individual libraries.', 'path_filters': ['./alignment/library/*']}}, {'samtools': {'name': 'MERGED LIB: SAMTools (unfiltered)', 'info': 'This section of the report shows SAMTools results after merging libraries and before filtering.', 'path_filters': ['./alignment/merged_library/unfiltered/*.mLb.mkD.sorted*']}}, {'picard': {'name': 'MERGED LIB: Picard (unfiltered)', 'info': 'This section of the report shows picard results after merging libraries and before filtering.', 'path_filters': ['./alignment/merged_library/unfiltered/picard_metrics/*']}}, {'preseq': {'name': 'MERGED LIB: Preseq (unfiltered)', 'info': 'This section of the report shows Preseq results after merging libraries and before filtering.'}}, {'samtools': {'name': 'MERGED LIB: SAMTools (filtered)', 'info': 'This section of the report shows SAMTools results after merging libraries and after filtering.', 'path_filters': ['./alignment/merged_library/filtered/*.mLb.clN.sorted*']}}, {'picard': {'name': 'MERGED LIB: Picard (filtered)', 'info': 'This section of the report shows picard results after merging libraries and after filtering.', 'path_filters': ['./alignment/merged_library/filtered/picard_metrics/*']}}, {'deeptools': {'name': 'MERGED LIB: deepTools', 'anchor': 'mlib_deeptools', 'info': 'This section of the report shows QC plots generated by deepTools.'}}, {'featureCounts': {'name': 'MERGED LIB: featureCounts', 'anchor': 'mlib_featurecounts', 'info': 'This section of the report shows featureCounts results for the number of reads assigned to merged library consensus peaks.', 'path_filters': ['./macs2/merged_library/featurecounts/*.summary']}}, {'samtools': {'name': 'MERGED REP: SAMTools', 'info': 'This section of the report shows SAMTools results after merging replicates and filtering.', 'path_filters': ['./alignment/merged_replicate/*']}}, {'picard': {'name': 'MERGED REP: Picard', 'anchor': 'mrep_picard', 'info': 'This section of the report shows picard results after merging libraries and before filtering.', 'path_filters': ['./alignment/merged_replicate/picard_metrics/*']}}, {'featureCounts': {'name': 'MERGED REP: featureCounts', 'anchor': 'mrep_featurecounts', 'info': 'This section of the report shows featureCounts results for the number of reads assigned to merged replicate consensus peaks.', 'path_filters': ['./macs2/merged_replicate/featurecounts/*.summary']}}], 'report_section_order': {'mlib_peak_count': {'before': 'mlib_deeptools'}, 'mlib_frip_score': {'before': 'mlib_peak_count'}, 'mlib_peak_annotation': {'before': 'mlib_frip_score'}, 'mlib_featurecounts': {'before': 'mlib_peak_annotation'}, 'mlib_deseq2_pca_1': {'before': 'mlib_featurecounts'}, 'mlib_deseq2_clustering_1': {'before': 'mlib_deseq2_pca_1'}, 'mrep_peak_count': {'before': 'mrep_picard'}, 'mrep_frip_score': {'before': 'mrep_peak_count'}, 'mrep_peak_annotation': {'before': 'mrep_frip_score'}, 'mrep_featurecounts': {'before': 'mrep_peak_annotation'}, 'mrep_deseq2_pca_1': {'before': 'mrep_featurecounts'}, 'mrep_deseq2_clustering_1': {'before': 'mrep_deseq2_pca_1'}, 'nf-core-atacseq-methods-description': {'order': -1000}, 'software_versions': {'order': -1001}, 'nf-core-atacseq-summary': {'order': -1002}}, 'custom_plot_config': {'picard_insert_size': {'cpswitch_c_active': False, 'smooth_points': 1000}, 'featurecounts': {'cpswitch_c_active': False}, 'featurecounts-1': {'cpswitch_c_active': False}}}
[2024-03-26 18:43:04,685] multiqc                                            [DEBUG  ]  Added to filename patterns: [{'cutadapt': {'fn': '*trimming_report.txt'}, 'preseq': {'fn': '*.lc_extrap.txt'}, 'deeptools/plotFingerprintOutRawCounts': {'fn': '*plotFingerprint*'}, 'deeptools/plotProfile': {'fn': '*plotProfile*'}}]
[2024-03-26 18:43:04,685] multiqc                                            [DEBUG  ]  Added to filename clean extensions: [['fastq.gz', '_trimmed', '_val', 'sorted.bam', '.Lb', 'mkD', 'clN', 'mLb', 'mRp', '_peaks', '.FRiP', '.peak', 'lc_extrap']]
[2024-03-26 18:43:04,685] multiqc                                            [DEBUG  ]  Command used: /usr/local/bin/multiqc -f .
[2024-03-26 18:43:04,879] multiqc                                            [WARNING]  MultiQC Version v1.21 now available!
[2024-03-26 18:43:04,879] multiqc                                            [DEBUG  ]  Working dir : /nemo/lab/ulej/home/users/luscomben/users/capitac/ebi-course-24-march/atac/work/8b/5013c01c9cafa24fdd788d47ec29d2
[2024-03-26 18:43:04,879] multiqc                                            [DEBUG  ]  Template    : default
[2024-03-26 18:43:04,879] multiqc                                            [DEBUG  ]  Running Python 3.10.6 | packaged by conda-forge | (main, Aug 22 2022, 20:35:26) [GCC 10.4.0]
[2024-03-26 18:43:04,880] multiqc                                            [INFO   ]  Only using modules: custom_content, fastqc, cutadapt, samtools, picard, preseq, featureCounts, deeptools
[2024-03-26 18:43:04,880] multiqc                                            [INFO   ]  Excluding modules 'general_stats'
[2024-03-26 18:43:04,880] multiqc                                            [DEBUG  ]  Analysing modules: custom_content, fastqc, cutadapt, fastqc, samtools, samtools, picard, preseq, samtools, picard, deeptools, featureCounts, samtools, picard, featureCounts
[2024-03-26 18:43:04,880] multiqc                                            [DEBUG  ]  Using temporary directory for creating report: /tmp/slurm_258873/tmpz99nxayp
[2024-03-26 18:43:05,067] multiqc                                            [INFO   ]  Search path : /nemo/lab/ulej/home/users/luscomben/users/capitac/ebi-course-24-march/atac/work/8b/5013c01c9cafa24fdd788d47ec29d2
[2024-03-26 18:43:05,068] multiqc                                            [DEBUG  ]  Ignored 236 search patterns as didn't match running modules.
[2024-03-26 18:43:09,091] multiqc                                            [DEBUG  ]  Summary of files that were skipped by the search: [skipped_no_match: 8]
[2024-03-26 18:43:10,017] multiqc.plots.bargraph                             [DEBUG  ]  Using matplotlib version 3.5.3
[2024-03-26 18:43:10,019] multiqc.plots.linegraph                            [DEBUG  ]  Using matplotlib version 3.5.3
[2024-03-26 18:43:10,109] multiqc.modules.custom_content.custom_content      [INFO   ]  software_versions: Found 1 sample (html)
[2024-03-26 18:43:10,109] multiqc.modules.custom_content.custom_content      [INFO   ]  nf-core-atacseq-summary: Found 1 sample (html)
[2024-03-26 18:43:10,109] multiqc                                            [DEBUG  ]  multiqc_mrep_deseq2_clustering_1-plot could not be saved as tsv/csv. Falling back to YAML.
[2024-03-26 18:43:10,113] multiqc.modules.custom_content.custom_content      [INFO   ]  mrep_deseq2_clustering_1: Found 11 samples (heatmap)
[2024-03-26 18:43:10,114] multiqc.modules.custom_content.custom_content      [INFO   ]  mrep_deseq2_pca_1: Found 11 samples (scatter)
[2024-03-26 18:43:11,721] multiqc.modules.custom_content.custom_content      [INFO   ]  mlib_peak_annotation: Found 11 samples (bargraph)
[2024-03-26 18:43:13,052] multiqc.modules.custom_content.custom_content      [INFO   ]  mlib_peak_count: Found 11 samples (bargraph)
[2024-03-26 18:43:14,336] multiqc.modules.custom_content.custom_content      [INFO   ]  mlib_frip_score: Found 11 samples (bargraph)
[2024-03-26 18:43:15,477] multiqc.modules.custom_content.custom_content      [INFO   ]  mrep_peak_annotation: Found 3 samples (bargraph)
[2024-03-26 18:43:15,938] multiqc.modules.custom_content.custom_content      [INFO   ]  mrep_frip_score: Found 3 samples (bargraph)
[2024-03-26 18:43:16,745] multiqc.modules.custom_content.custom_content      [INFO   ]  mrep_peak_count: Found 3 samples (bargraph)
[2024-03-26 18:43:16,745] multiqc.modules.custom_content.custom_content      [INFO   ]  mlib_deseq2_pca_1: Found 11 samples (scatter)
[2024-03-26 18:43:16,746] multiqc                                            [DEBUG  ]  multiqc_mlib_deseq2_clustering_1-plot could not be saved as tsv/csv. Falling back to YAML.
[2024-03-26 18:43:16,750] multiqc.modules.custom_content.custom_content      [INFO   ]  mlib_deseq2_clustering_1: Found 11 samples (heatmap)
[2024-03-26 18:43:16,756] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/LV_EC_ATAC_REP1_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2024-03-26 18:43:16,756] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/BR_EC_ATAC_REP4_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2024-03-26 18:43:16,756] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/LG_EC_ATAC_REP4_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
